Step, Time, PreyPop, PredPop, MutantPop, PreyInCaptureRange, PreyInCaptureRangeQuesting, PreyInCaptureRangeHandling, PreyConsumed, PredHandling, Polarization, Crowding, CrowdingQuesting, CrowdingHandling, CollectivePred, CollectivePrey
50,4.999998,1079,104,0,815,592,223,0,31,0.2819567,2.846154,2.808219,2.935484,True,False
100,10,1164,100,0,915,553,362,1,44,0.4104439,3.01,3.357143,2.568182,True,False
150,15.00002,1280,105,0,962,656,306,1,33,0.3525037,4.838095,4.708333,5.121212,True,False
200,20.00004,1376,111,0,1173,723,450,1,46,0.2893341,6.054054,5.676923,6.586957,True,False
250,25.00006,1512,115,0,1247,769,478,2,44,0.4442784,5.826087,5.56338,6.25,True,False
300,30.00008,1624,120,0,1652,950,702,1,50,0.4132296,5.8,6.057143,5.44,True,False
350,35.00004,1746,124,0,1702,926,776,1,55,0.4695743,7.451613,7.26087,7.690909,True,False
400,39.99996,1896,127,0,1868,1117,751,1,49,0.4071462,9.007874,9.153846,8.77551,True,False
450,44.99989,2052,136,0,1969,1039,930,2,65,0.5199455,7.441176,7.12676,7.784616,True,False
500,49.99981,2202,143,0,2147,1085,1062,2,74,0.4362569,12.6014,12.66667,12.54054,True,False
550,54.99973,2384,157,0,2673,1337,1336,4,78,0.4121426,9.452229,9.13924,9.769231,True,False
600,59.99966,2527,167,0,3072,1441,1631,3,90,0.3700287,9.077845,8.506494,9.566667,True,False
650,64.99958,2689,176,0,3724,1744,1980,4,91,0.3100724,9.017045,8.858824,9.164835,True,False
700,69.9995,2844,193,0,4041,1760,2281,3,106,0.2761651,9.072539,8.471265,9.566038,True,False
750,74.99943,2962,220,0,4875,2049,2826,4,128,0.1978638,9.954545,9.119565,10.55469,True,False
800,79.99935,3078,238,0,4956,1993,2963,1,145,0.3193173,10.38655,10.17204,10.52414,True,False
850,84.99928,3188,257,0,6014,2280,3734,3,160,0.3179016,8.910506,8.484536,9.16875,True,False
900,89.9992,3314,273,0,6694,2795,3899,7,156,0.2975606,9.959707,10.62393,9.461538,True,False
950,94.99912,3400,299,0,7689,2916,4773,3,189,0.2613328,11.41472,11.41818,11.4127,True,False
1000,99.99905,3412,349,0,7988,3128,4860,1,211,0.3494956,12.46705,12.38406,12.52133,True,False
1050,104.999,3460,405,0,10166,3902,6264,3,255,0.5143775,11.98025,12.49333,11.67843,True,False
1100,109.9989,3438,459,0,11615,4823,6792,6,270,0.5924251,14.43137,14.48677,14.39259,True,False
1150,114.9988,3343,537,0,12844,5250,7594,9,323,0.6062066,13.46741,14.13084,13.02786,True,False
1200,119.9987,3203,592,0,13267,5152,8115,4,369,0.6916873,18.71622,19.50224,18.24119,True,False
1250,124.9987,3066,651,0,13327,5826,7501,9,367,0.7672191,15.56528,15.67606,15.47956,True,False
1300,129.9987,2913,734,0,14138,5752,8386,7,421,0.7398511,15.0327,16.01597,14.30166,True,False
1350,134.999,2717,792,0,13626,6343,7283,9,421,0.7967042,17.04293,16.85445,17.20903,True,False
1400,139.9993,2464,855,0,13355,6628,6727,3,431,0.8000721,17.32631,18.25,16.41763,True,False
1450,144.9996,2241,905,0,13894,7072,6822,10,446,0.8521268,16.42762,16.55773,16.29372,True,False
1500,150,1984,942,0,12640,6248,6392,8,464,0.838186,16.69851,16.98536,16.40302,True,False
1550,155.0003,1710,978,0,10499,5791,4708,11,435,0.8675986,18.9274,18.95028,18.89885,True,False
1600,160.0006,1479,1017,0,9227,5268,3959,14,423,0.8647105,19.32153,19.4798,19.09929,True,False
1650,165.0009,1268,1054,0,8203,5047,3156,6,394,0.8777649,19.15844,19.41515,18.72843,True,False
1700,170.0012,1022,1065,0,6697,4307,2390,8,375,0.9119285,18.39437,18.21159,18.73067,True,False
1750,175.0015,837,1075,0,5851,4036,1815,9,327,0.8972805,16.89953,16.95722,16.76758,True,False
1800,180.0018,660,1037,0,4877,3670,1207,3,258,0.912443,17.52073,17.49551,17.5969,True,False
1850,185.0021,487,1005,0,3418,2578,840,4,242,0.8958748,16.43184,16.52818,16.1281,True,False
1900,190.0024,379,974,0,2381,1931,450,1,195,0.9082772,19.09343,19.0475,19.27692,True,False
1950,195.0027,281,924,0,1340,1158,182,1,136,0.9150512,19.31385,19.31472,19.30882,True,False
2000,200.003,235,851,0,1240,1075,165,4,109,0.9317719,17.64042,17.66846,17.44954,True,False
2050,205.0033,189,787,0,984,873,111,1,94,0.9531145,18.23126,18.19336,18.51064,True,False
