Step, Time, PreyPop, PredPop, MutantPop, PreyInCaptureRange, PreyInCaptureRangeQuesting, PreyInCaptureRangeHandling, PreyConsumed, PredHandling, Polarization, Crowding, CrowdingQuesting, CrowdingHandling, CollectivePred, CollectivePrey, NumberOfGroups, MeanGroupSize, VarGroupSize, MaxGroupSize, NumberOfSingletonGroups
50,4.999998,1094,105,0,863,633,230,2,26,0.1606266,2.495238,2.594937,2.192308,True,False,36,2.916667,7.520833,15,14
100,10,1184,109,0,966,652,314,0,34,0.1335568,3.486238,3.253333,4,True,False,28,3.892857,26.95281,26,14
150,15.00002,1277,113,0,1026,646,380,2,40,0.06581096,5.309734,5.369863,5.2,True,False,21,5.380952,28.4263,21,5
200,20.00004,1413,116,0,1088,648,440,0,42,0.119208,7.137931,7.243243,6.952381,True,False,17,6.823529,48.14533,24,4
250,25.00006,1528,122,0,1273,777,496,1,48,0.2301863,7.393443,7.162162,7.75,True,False,17,7.176471,50.73356,24,5
300,30.00008,1643,126,0,1572,892,680,1,53,0.4038267,8.206349,8.575342,7.698113,True,False,18,7,63.55556,26,8
350,35.00004,1782,131,0,1609,950,659,1,56,0.5929838,8.824428,8.893333,8.732142,True,False,14,9.357142,266.0867,64,5
400,39.99996,1911,140,0,1593,886,707,1,63,0.7089273,8.071428,8.207792,7.904762,True,False,16,8.75,116.6875,38,5
450,44.99989,2051,149,0,2020,1214,806,1,59,0.7006736,11.12752,11.06667,11.22034,True,False,13,11.46154,261.3254,47,5
500,49.99981,2225,147,0,2068,1079,989,1,66,0.7550621,11.95918,12,11.90909,True,False,16,9.1875,184.5273,46,7
550,54.99973,2377,146,0,1933,1106,827,1,65,0.7066922,12.31507,12.59259,11.96923,True,False,15,9.733334,197.9289,47,5
600,59.99966,2544,150,0,2593,1316,1277,2,73,0.6090171,12.58,12.94805,12.19178,True,False,14,10.71429,209.3469,47,5
650,64.99958,2667,171,0,3291,1558,1733,4,87,0.558846,11.80117,11.09524,12.48276,True,False,17,10.05882,476.8789,92,9
700,69.9995,2796,180,0,3685,1435,2250,5,108,0.5619263,11.26667,10.77778,11.59259,True,False,20,9,206.5,49,7
750,74.99943,2939,200,0,4216,1909,2307,1,107,0.4962701,11.89,11.5914,12.14953,True,False,21,9.523809,364.6304,78,8
800,79.99935,3065,227,0,5304,2240,3064,4,127,0.4745384,10.20705,10.94,9.629921,True,False,27,8.407408,142.0933,49,7
850,84.99928,3193,242,0,5353,2239,3114,3,141,0.513923,11.26033,11.29703,11.23404,True,False,20,12.1,324.49,60,8
900,89.9992,3298,261,0,6126,2706,3420,4,144,0.5828261,12.01533,12.2906,11.79167,True,False,27,9.666667,249.3333,64,13
950,94.99912,3364,294,0,6601,2544,4057,4,181,0.5072153,11.58844,11.41593,11.69613,True,False,24,12.25,376.6875,75,11
1000,99.99905,3396,320,0,6590,2776,3814,4,185,0.4270112,13.66562,13.71852,13.62703,True,False,24,13.33333,445.1389,83,12
1050,104.999,3453,362,0,8043,3447,4596,8,204,0.5217015,13.29006,13.37975,13.22059,True,False,17,21.29412,1277.855,112,5
1100,109.9989,3450,400,0,9009,3618,5391,3,237,0.595437,15.5475,14.93252,15.97046,True,False,14,28.57143,2985.388,173,7
1150,114.9988,3401,469,0,10783,4187,6596,7,280,0.6239533,15.52452,14.68783,16.08928,True,False,16,29.3125,2241.34,145,8
1200,119.9987,3311,540,0,11562,5292,6270,7,294,0.6616535,17.8537,17.20325,18.39796,True,False,15,36,7126.933,277,6
1250,124.9987,3203,615,0,14094,5812,8282,10,348,0.7254514,17.50894,17.21723,17.73276,True,False,17,36.17647,7368.498,351,9
1300,129.9987,3044,702,0,15103,6443,8660,11,391,0.6842742,17.67521,17.80386,17.57289,True,False,18,39,13766.11,503,12
1350,134.999,2805,759,0,14304,6436,7868,5,420,0.7280561,20.24901,19.38348,20.94762,True,False,14,54.21429,28710.88,664,3
1400,139.9993,2615,830,0,13601,6355,7246,9,426,0.734027,21.10361,21.87624,20.37089,True,False,13,63.84615,22550.13,555,7
1450,144.9996,2433,872,0,14096,6413,7683,11,426,0.7378584,16.78899,17.15022,16.4108,True,False,11,79.27273,49446.56,781,4
1500,150,2170,911,0,13771,6679,7092,10,439,0.6661698,19.88694,20.29237,19.45103,True,False,16,56.9375,45383.68,882,9
1550,155.0003,1919,943,0,10647,5662,4985,9,392,0.6291763,19.16013,18.90381,19.52041,True,False,15,62.86666,32608.65,731,7
1600,160.0006,1741,956,0,9480,5186,4294,8,358,0.5983119,19.03661,19.73411,17.87151,True,False,18,53.11111,40256.21,880,10
1650,165.0009,1554,986,0,8773,4920,3853,9,348,0.6368562,19.2211,19.72727,18.2931,True,False,18,54.77778,23262.06,650,9
1700,170.0012,1394,950,0,6352,3952,2400,5,307,0.6587538,20.80737,21.24261,19.89577,True,False,11,86.36364,42632.23,707,7
1750,175.0015,1302,948,0,4275,2754,1521,8,258,0.7797304,20.29325,21.17971,17.92248,True,False,11,86.18182,63023.61,879,5
1800,180.0018,1258,915,0,4186,2917,1269,4,215,0.8637183,20.48415,20.99286,18.82791,True,False,10,91.5,42912.85,702,5
1850,185.0021,1211,889,0,4973,3037,1936,2,217,0.8369024,18.24522,18.37351,17.84793,True,False,7,127,52354,659,3
1900,190.0024,1127,862,0,4973,3038,1935,4,208,0.8402961,20.28654,20.71254,18.94711,True,False,12,71.83334,15154.47,385,2
1950,195.0027,1047,835,0,5189,3485,1704,6,177,0.8466533,19.01677,19.51064,17.18079,True,False,8,104.375,67379.23,791,3
2000,200.003,988,820,0,4116,2661,1455,4,173,0.8358396,19.84268,20.37712,17.84393,True,False,8,102.5,66768.5,786,4
2050,205.0033,959,801,0,3145,2148,997,6,154,0.8529665,21.42197,22.06182,18.73377,True,False,12,66.75,33713.52,672,7
2100,210.0036,943,769,0,3174,2132,1042,8,137,0.8689772,21.3394,21.94304,18.55474,True,False,10,76.9,15176.29,411,3
2150,215.0039,908,737,0,3872,2784,1088,4,135,0.8625632,18.98915,19.33555,17.44444,True,False,14,52.64286,11304.37,402,5
2200,220.0042,837,723,0,3598,2629,969,5,154,0.8763162,19.2213,19.95431,16.51299,True,False,20,36.15,6664.127,348,10
2250,225.0045,771,712,0,2950,2124,826,5,162,0.8775163,18.23736,18.68182,16.7284,True,False,18,39.55556,4543.358,216,7
2300,230.0048,715,704,0,2831,1935,896,6,158,0.8395801,18.93324,19.66667,16.39874,True,False,20,35.2,3870.86,231,10
