Step, Time, PreyPop, PredPop, MutantPop, PreyInCaptureRange, PreyInCaptureRangeQuesting, PreyInCaptureRangeHandling, PreyConsumed, PredHandling, Polarization, Crowding, CrowdingQuesting, CrowdingHandling, CollectivePred, CollectivePrey, NumberOfGroups, MeanGroupSize, VarGroupSize, MaxGroupSize, NumberOfSingletonGroups
50,4.999998,1056,98,0,819,620,199,1,25,0.02876157,1.163265,1.082192,1.4,False,False,98,1,0,1,98
100,10,1123,113,0,923,555,368,0,47,0.03803616,1.070796,1.015152,1.148936,False,False,113,1,0,1,113
150,15.00002,1218,116,0,1089,718,371,2,42,0.0913723,0.8448276,0.8108108,0.9047619,False,False,116,1,0,1,116
200,20.00004,1287,125,0,1247,770,477,0,47,0.07204656,1.008,0.9615384,1.085106,False,False,125,1,0,1,125
250,25.00006,1332,133,0,1439,759,680,1,63,0.04962339,1.18797,1.1,1.285714,False,False,133,1,0,1,133
300,30.00008,1409,141,0,1564,922,642,1,59,0.04594488,1.248227,1.256098,1.237288,False,False,141,1,0,1,141
350,35.00004,1465,156,0,1745,1135,610,1,58,0.04720564,1.25641,1.234694,1.293103,False,False,156,1,0,1,156
400,39.99996,1508,161,0,1867,1057,810,2,72,0.08480514,1.403727,1.370787,1.444444,False,False,161,1,0,1,161
450,44.99989,1576,168,0,2133,1276,857,0,71,0.02636264,1.404762,1.350515,1.478873,False,False,168,1,0,1,168
500,49.99981,1606,184,0,2371,1267,1104,4,80,0.02746575,1.641304,1.5,1.825,False,False,184,1,0,1,184
550,54.99973,1658,194,0,2346,1247,1099,3,91,0.1451842,1.525773,1.669903,1.362637,False,False,194,1,0,1,194
600,59.99966,1684,206,0,2669,1431,1238,0,100,0.09321374,2.106796,2.292453,1.91,False,False,206,1,0,1,206
650,64.99958,1695,212,0,2707,1338,1369,4,106,0.05533776,1.707547,1.735849,1.679245,False,False,212,1,0,1,212
700,69.9995,1712,222,0,2970,1554,1416,2,109,0.03958473,1.756757,1.769912,1.743119,False,False,222,1,0,1,222
750,74.99943,1700,238,0,3130,1469,1661,5,125,0.05183671,2.033613,1.867257,2.184,False,False,238,1,0,1,238
800,79.99935,1737,252,0,3467,1742,1725,3,123,0.05935661,2.198413,2.271318,2.121951,False,False,252,1,0,1,252
850,84.99928,1702,280,0,3674,1925,1749,7,138,0.07184693,2.185714,2.225352,2.144928,False,False,280,1,0,1,280
900,89.9992,1690,296,0,3848,2095,1753,1,135,0.05188196,2.283784,2.304348,2.259259,False,False,296,1,0,1,296
950,94.99912,1677,309,0,3984,2246,1738,2,135,0.03893128,2.355987,2.408046,2.288889,False,False,309,1,0,1,309
1000,99.99905,1655,328,0,4288,2312,1976,6,145,0.07428914,2.564024,2.562841,2.565517,False,False,328,1,0,1,328
1050,104.999,1621,354,0,4618,2618,2000,2,154,0.04840353,2.977401,2.975,2.98052,False,False,354,1,0,1,354
1100,109.9989,1564,390,0,4729,2426,2303,5,184,0.01758661,3.192308,3.140777,3.25,False,False,390,1,0,1,390
1150,114.9988,1476,405,0,4646,2566,2080,4,180,0.004173625,3.444444,3.435555,3.455555,False,False,405,1,0,1,405
