Step, Time, PreyPop, PredPop, MutantPop, PreyInCaptureRange, PreyInCaptureRangeQuesting, PreyInCaptureRangeHandling, PreyConsumed, PredHandling, Polarization, Crowding, CrowdingQuesting, CrowdingHandling, CollectivePred, CollectivePrey, NumberOfGroups, MeanGroupSize, VarGroupSize, MaxGroupSize, NumberOfSingletonGroups, NumberOfMutantGroups, PreyInCaptureRangeMutant, LocalConspecificsMutant, LocalHeterospecificsMutant
50,4.999998,1057,20,10,151,84,67,0,7,0.3602357,0.3,0.3076923,0.2857143,True,False,0,0,0,0,0,0,79,2,0
100,10,1118,18,9,153,106,47,0,6,0.2963088,0.3333333,0.3333333,0.3333333,True,False,0,0,0,0,0,0,78,4,1
150,15.00002,1174,22,10,172,136,36,0,7,0.1718268,0.8181818,0.8,0.8571429,True,False,0,0,0,0,0,0,91,6,1
200,20.00004,1225,24,12,251,151,100,0,10,0.4037981,1.916667,1.785714,2.1,True,False,0,0,0,0,0,0,119,28,4
250,25.00006,1279,26,12,229,109,120,1,12,0.461119,2.307692,1.928571,2.75,True,False,0,0,0,0,0,0,105,26,1
300,30.00008,1343,29,12,255,126,129,0,13,0.3916306,2.413793,2.375,2.461539,True,False,0,0,0,0,0,0,88,28,2
350,35.00004,1398,28,11,241,176,65,0,9,0.1460201,2.428571,2.631579,2,True,False,0,0,0,0,0,0,105,28,4
400,39.99996,1450,31,13,366,217,149,0,12,0.2550812,2,1.736842,2.416667,True,False,0,0,0,0,0,0,183,28,0
450,44.99989,1485,31,13,322,173,149,0,13,0.4987387,2.83871,2.666667,3.076923,True,False,0,0,0,0,0,0,145,32,0
500,49.99981,1527,29,12,365,224,141,0,11,0.06904603,2.206897,1.944444,2.636364,True,False,0,0,0,0,0,0,187,26,0
550,54.99973,1576,32,15,400,213,187,0,15,0.1682746,3.1875,3.470588,2.866667,True,False,0,0,0,0,0,0,218,52,0
600,59.99966,1603,31,14,378,218,160,2,12,0.09343858,2.129032,2.105263,2.166667,True,False,0,0,0,0,0,0,161,26,2
650,64.99958,1633,32,12,320,132,188,1,16,0.1356646,3,3.125,2.875,True,False,0,0,0,0,0,0,102,32,0
700,69.9995,1669,31,12,295,166,129,0,13,0.144258,2.645161,2.888889,2.307692,True,False,0,0,0,0,0,0,126,24,7
750,74.99943,1690,28,12,357,164,193,0,14,0.2165124,3.5,3.5,3.5,True,False,0,0,0,0,0,0,150,26,0
800,79.99935,1723,26,10,330,186,144,0,14,0.3305881,3.384615,3.25,3.5,True,False,0,0,0,0,0,0,182,18,0
850,84.99928,1750,25,12,358,128,230,1,16,0.3474309,2.24,1.777778,2.5,True,False,0,0,0,0,0,0,196,18,1
900,89.9992,1771,31,16,437,209,228,2,16,0.4215947,1.870968,1.533333,2.1875,True,False,0,0,0,0,0,0,225,30,0
950,94.99912,1789,32,16,432,209,223,1,15,0.4605498,2.6875,2.235294,3.2,True,False,0,0,0,0,0,0,226,34,0
1000,99.99905,1805,32,15,436,208,228,0,16,0.237574,2,2,2,True,False,0,0,0,0,0,0,220,22,0
1050,104.999,1807,38,21,523,290,233,1,17,0.2175998,2.368421,2.809524,1.823529,True,False,0,0,0,0,0,0,297,50,21
1100,109.9989,1814,39,23,460,240,220,0,18,0.4009265,2.307692,2.571429,2,True,False,0,0,0,0,0,0,312,52,1
1150,114.9988,1820,40,25,505,327,178,0,14,0.1078988,2.25,2.423077,1.928571,True,False,0,0,0,0,0,0,277,64,0
1200,119.9987,1823,43,28,569,334,235,0,18,0.2531149,3.069767,3.24,2.833333,True,False,0,0,0,0,0,0,346,108,0
1250,124.9987,1834,42,27,628,398,230,0,16,0.3843887,2.714286,2.769231,2.625,True,False,0,0,0,0,0,0,370,90,4
1300,129.9987,1840,46,28,587,362,225,0,19,0.2936781,3.478261,3.37037,3.631579,True,False,0,0,0,0,0,0,368,118,0
1350,134.999,1841,47,28,633,365,268,1,19,0.2363715,2.12766,2.25,1.947368,True,False,0,0,0,0,0,0,400,66,2
1400,139.9993,1839,45,26,616,280,336,0,22,0.2386367,1.911111,1.826087,2,True,False,0,0,0,0,0,0,361,48,13
1450,144.9996,1830,55,31,643,380,263,1,23,0.3426383,2.2,2.375,1.956522,True,False,0,0,0,0,0,0,398,75,9
1500,150,1823,59,34,756,447,309,0,25,0.4228912,2.813559,2.617647,3.08,True,False,0,0,0,0,0,0,471,100,7
1550,155.0003,1825,60,36,802,409,393,0,29,0.1959303,2.6,2.483871,2.724138,True,False,0,0,0,0,0,0,510,88,9
1600,160.0006,1817,67,40,931,461,470,0,34,0.1879195,2.865672,2.727273,3,True,False,0,0,0,0,0,0,654,90,3
1650,165.0009,1796,72,42,992,537,455,1,36,0.2567334,2.805556,2.972222,2.638889,True,False,0,0,0,0,0,0,617,80,12
1700,170.0012,1789,76,42,1137,554,583,1,41,0.05239009,3.486842,3.8,3.219512,True,False,0,0,0,0,0,0,648,104,11
1750,175.0015,1767,89,51,1225,702,523,1,37,0.1390077,3.52809,3.615385,3.405406,True,False,0,0,0,0,0,0,732,140,9
1800,180.0018,1740,100,57,1239,659,580,0,47,0.1412199,4.18,3.811321,4.595745,True,False,0,0,0,0,0,0,703,216,24
1850,185.0021,1721,100,52,1287,602,685,1,50,0.2299613,3.81,3.26,4.36,True,False,0,0,0,0,0,0,585,150,17
1900,190.0024,1696,108,55,1379,704,675,1,53,0.3156483,3.555556,3.4,3.716981,True,False,0,0,0,0,0,0,580,176,7
1950,195.0027,1678,111,54,1379,700,679,0,51,0.04585329,2.864865,2.916667,2.803921,True,False,0,0,0,0,0,0,582,136,13
2000,200.003,1664,117,53,1427,848,579,2,45,0.1327112,3.709402,3.236111,4.466667,True,False,0,0,0,0,0,0,617,138,22
2050,205.0033,1638,121,58,1503,654,849,1,61,0.2355514,3.46281,3.45,3.47541,True,False,0,0,0,0,0,0,738,166,6
2100,210.0036,1641,124,61,1524,807,717,2,56,0.2504265,3.862903,3.867647,3.857143,True,False,0,0,0,0,0,0,703,234,7
2150,215.0039,1623,129,63,1607,945,662,0,54,0.1700429,4.077519,4,4.185185,True,False,0,0,0,0,0,0,873,226,16
2200,220.0042,1614,136,70,1662,987,675,2,54,0.2791927,3.713235,3.573171,3.925926,True,False,0,0,0,0,0,0,922,241,31
2250,225.0045,1589,147,78,1750,982,768,5,65,0.1632223,4.129251,3.963415,4.338461,True,False,0,0,0,0,0,0,889,315,22
2300,230.0048,1560,160,90,1920,964,956,0,78,0.4572386,5.4125,6.073171,4.717949,True,False,0,0,0,0,0,0,1112,516,31
2350,235.0051,1546,161,91,1923,1114,809,3,64,0.3263997,4.751553,4.360825,5.34375,True,False,0,0,0,0,0,0,1119,427,50
2400,240.0054,1509,178,95,2096,1237,859,0,69,0.1205053,4.64045,4.504587,4.855072,True,False,0,0,0,0,0,0,1232,428,157
2450,245.0058,1474,193,102,2173,1259,914,1,76,0.1014351,6.341969,5.794872,7.18421,True,False,0,0,0,0,0,0,1291,760,185
2500,250.0061,1440,202,106,2052,1166,886,0,90,0.1146913,5.376237,5.178571,5.622222,True,False,0,0,0,0,0,0,1156,628,65
2550,255.0064,1413,206,109,2197,1300,897,1,83,0.1778981,5.645631,5.300813,6.156627,True,False,0,0,0,0,0,0,1304,428,55
2600,260.0067,1384,215,108,2146,1242,904,0,89,0.1146194,4.623256,4.944445,4.16854,True,False,0,0,0,0,0,0,1175,516,60
2650,265.007,1354,217,111,2123,1221,902,1,86,0.07599198,4.617512,4.587786,4.662791,True,False,0,0,0,0,0,0,1114,504,43
2700,270.0073,1338,232,115,1850,1046,804,2,97,0.21819,5.142241,5.207407,5.051547,True,False,0,0,0,0,0,0,839,649,152
2750,275.0076,1326,231,116,2101,1289,812,3,82,0.190776,5.658009,5.751678,5.487805,True,False,0,0,0,0,0,0,998,702,194
2800,280.0079,1305,242,121,1906,1146,760,2,86,0.06003558,4.793388,4.891026,4.616279,True,False,0,0,0,0,0,0,867,640,174
2850,285.0082,1297,246,126,2283,1442,841,6,81,0.0759887,5.04065,4.878788,5.37037,True,False,0,0,0,0,0,0,1215,680,177
2900,290.0085,1242,244,126,2118,1225,893,3,95,0.1337364,5.405738,5.395973,5.421052,True,False,0,0,0,0,0,0,1144,809,64
2950,295.0088,1241,241,130,1979,1282,697,4,74,0.2092515,5.842324,6.05988,5.351351,True,False,0,0,0,0,0,0,1150,794,275
3000,300.0091,1223,243,133,2169,1392,777,2,84,0.08844262,5.798354,5.81761,5.761905,True,False,0,0,0,0,0,0,1284,806,119
3050,305.0094,1216,237,134,2035,1351,684,3,73,0.2213983,5.274261,5.487805,4.79452,True,False,0,0,0,0,0,0,1336,686,76
3100,310.0097,1215,229,133,1681,1165,516,3,68,0.2430918,5.502183,5.565217,5.352941,True,False,0,0,0,0,0,0,1051,808,149
3150,315.01,1190,229,136,1800,1046,754,2,83,0.1416259,6.021834,6.089041,5.903615,True,False,0,0,0,0,0,0,1118,903,120
3200,320.0103,1180,223,132,1723,1059,664,2,72,0.2208863,6.914798,7.066225,6.597222,True,False,0,0,0,0,0,0,945,1156,103
