Step, Time, PreyPop, PredPop, MutantPop, PreyInCaptureRange, PreyInCaptureRangeQuesting, PreyInCaptureRangeHandling, PreyConsumed, PredHandling, Polarization, Crowding, CrowdingQuesting, CrowdingHandling, CollectivePred, CollectivePrey, NumberOfGroups, MeanGroupSize, VarGroupSize, MaxGroupSize, NumberOfSingletonGroups
50,4.999998,1057,96,0,799,591,208,0,29,0.3163057,2.479167,2.61194,2.172414,True,False,34,2.823529,7.67474,14,16
100,10,1118,94,0,868,588,280,0,32,0.1751255,3.914894,4.16129,3.4375,True,False,25,3.76,11.7024,15,8
150,15.00002,1180,95,0,834,435,399,1,47,0.1610291,4.505263,4.166667,4.851064,True,False,24,3.958333,14.12326,16,9
200,20.00004,1263,90,0,790,514,276,0,31,0.340486,4.822222,4.59322,5.258065,True,False,20,4.5,14.95,14,7
250,25.00006,1362,90,0,863,565,298,1,32,0.3818536,5.177778,4.827586,5.8125,True,False,21,4.285714,20.68027,17,10
300,30.00008,1440,89,0,1093,647,446,2,35,0.3852991,6.898876,7.111111,6.571429,True,False,16,5.5625,66.99609,35,7
350,35.00004,1522,94,0,882,527,355,0,40,0.4753256,6.914894,6.481482,7.5,True,False,17,5.529412,29.54325,17,5
400,39.99996,1597,93,0,1142,675,467,0,38,0.5280195,7.870968,8.363636,7.157895,True,False,12,7.75,35.6875,19,2
450,44.99989,1677,106,0,1195,663,532,1,45,0.6790568,9.566038,10.98361,7.644444,True,False,11,9.636364,123.5041,29,4
500,49.99981,1766,108,0,1202,661,541,2,49,0.6753045,10.44444,9.864407,11.14286,True,False,14,7.714286,98.20408,28,6
550,54.99973,1812,120,0,1481,791,690,1,58,0.579623,9.716666,9.854838,9.568966,True,False,17,7.058824,96.29066,29,7
600,59.99966,1854,133,0,1533,787,746,0,68,0.4813701,11.26316,11.81538,10.73529,True,False,12,11.08333,198.2431,43,4
650,64.99958,1903,137,0,1925,1030,895,1,62,0.5656585,11.0219,10.68,11.43548,True,False,15,9.133333,322.5156,72,6
700,69.9995,1942,148,0,1973,1068,905,0,70,0.6212781,11.47297,11.42308,11.52857,True,False,15,9.866667,354.9156,74,6
750,74.99943,1967,151,0,2008,1090,918,0,67,0.7186162,10.64238,11.04762,10.13433,True,False,14,10.78571,438.7398,77,8
800,79.99935,1981,168,0,2456,1169,1287,2,86,0.6377016,10.64286,9.402439,11.82558,True,False,17,9.882353,511.8685,98,7
850,84.99928,2033,167,0,2090,1166,924,0,75,0.7081574,13.8503,14.77174,12.72,True,False,15,11.13333,549.7156,95,8
900,89.9992,2057,175,0,2492,1310,1182,0,84,0.6681366,13.41714,13.92308,12.86905,True,False,18,9.722222,415.4229,89,8
950,94.99912,2067,187,0,2232,1115,1117,2,89,0.6375622,13.57219,12.71429,14.51685,True,False,16,11.6875,819.2148,121,5
1000,99.99905,2080,201,0,2447,1307,1140,2,89,0.7388443,15.1592,15.69643,14.48315,True,False,11,18.27273,1426.016,136,1
1050,104.999,2070,209,0,2474,1443,1031,4,89,0.714479,13.21531,13.35833,13.02247,True,False,12,17.41667,580.9097,74,3
1100,109.9989,2069,214,0,3165,1403,1762,3,115,0.7778748,13.34579,14,12.78261,True,False,16,13.375,313.9844,65,5
1150,114.9988,2044,226,0,3220,1692,1528,2,109,0.7907035,13.07522,14.36752,11.68807,True,False,17,13.29412,339.5017,72,4
1200,119.9987,2026,238,0,3120,1922,1198,1,94,0.794116,11.78151,11.51389,12.19149,True,False,24,9.916667,270.243,69,12
1250,124.9987,1985,241,0,3206,1772,1434,4,106,0.7934165,12.54357,12.64444,12.41509,True,False,24,10.04167,320.8733,68,8
1300,129.9987,1965,257,0,3698,2035,1663,3,114,0.7286252,12.44358,12.02797,12.96491,True,False,23,11.17391,502.3176,96,5
1350,134.999,1950,280,0,3272,1835,1437,2,118,0.6339248,12.33571,11.85802,12.99153,True,False,19,14.73684,972.7202,111,4
1400,139.9993,1932,279,0,3164,1824,1340,4,118,0.7385066,14.50179,13.83851,15.40678,True,False,16,17.4375,780.2461,101,4
1450,144.9996,1894,288,0,3186,1689,1497,5,128,0.674632,13.91319,14.0625,13.72656,True,False,24,12,608.9167,97,10
1500,150,1849,310,0,3417,1848,1569,2,138,0.7974225,15.1871,15.20349,15.16667,True,False,24,12.91667,1523.16,197,11
1550,155.0003,1833,321,0,3610,1758,1852,3,140,0.8261071,15.89097,15.9779,15.77857,True,False,20,16.05,1839.148,199,7
1600,160.0006,1827,331,0,3397,2025,1372,3,127,0.7898684,13.93353,13.55392,14.54331,True,False,18,18.38889,2720.126,232,3
1650,165.0009,1794,340,0,3866,2226,1640,4,140,0.7489446,14.11765,13.81,14.55714,True,False,21,16.19048,1116.726,131,9
1700,170.0012,1757,354,0,3719,2025,1694,2,157,0.701245,16,15.16244,17.05095,True,False,18,19.66667,985.4445,114,8
1750,175.0015,1755,358,0,3635,2083,1552,0,146,0.641734,15.76536,15.91981,15.5411,True,False,16,22.375,1391.734,122,7
1800,180.0018,1715,367,0,3906,2031,1875,1,164,0.6919438,15.42234,15.84729,14.89634,True,False,17,21.58824,1228.595,127,7
1850,185.0021,1660,381,0,4224,2365,1859,3,157,0.7072133,14.71654,14.69196,14.75159,True,False,15,25.4,3288.107,208,9
1900,190.0024,1627,383,0,3688,2160,1528,4,148,0.7698639,17.33681,17.08511,17.73649,True,False,13,29.46154,2619.479,147,6
1950,195.0027,1588,406,0,3803,2324,1479,1,152,0.854641,15.01478,15.25197,14.61842,True,False,11,36.90909,5111.901,218,4
2000,200.003,1557,410,0,3074,1908,1166,5,130,0.8180961,17.79268,17.675,18.04615,True,False,16,25.625,3596.109,241,7
2050,205.0033,1543,411,0,3286,2029,1257,3,132,0.8592826,18.25547,18.73477,17.24242,True,False,14,29.35714,3694.087,219,6
2100,210.0036,1499,422,0,3667,2225,1442,3,147,0.8748392,17.49289,17.52727,17.42857,True,False,11,38.36364,11290.05,374,2
2150,215.0039,1452,434,0,3656,2071,1585,3,160,0.837552,16.67281,17.4708,15.30625,True,False,14,31,3733.572,219,5
2200,220.0042,1401,440,0,3465,1998,1467,4,151,0.8046082,17.81364,18.86159,15.80795,True,False,17,25.88235,3090.927,206,8
2250,225.0045,1361,436,0,3559,2148,1411,5,141,0.802385,18.10321,18.6,17.06383,True,False,18,24.22222,2577.284,202,11
2300,230.0048,1288,437,0,3445,2074,1371,1,151,0.8177376,18.71854,19.54196,17.15894,True,False,15,29.13333,2168.516,172,3
2350,235.0051,1246,432,0,2906,1823,1083,2,146,0.7526729,16.84259,17.3042,15.93836,True,False,22,19.63636,1229.504,143,7
2400,240.0054,1229,427,0,2650,1815,835,3,113,0.7488022,17.67447,17.71975,17.54867,True,False,21,20.33333,1344.603,144,8
2450,245.0058,1211,428,0,2663,1792,871,1,119,0.7773547,17.39019,18.03884,15.70588,True,False,20,21.4,1382.94,141,8
2500,250.0061,1201,419,0,2139,1419,720,5,107,0.7603553,17.99045,18.59936,16.21495,True,False,18,23.27778,6501.645,355,8
2550,255.0064,1185,409,0,1774,1130,644,0,104,0.7680008,22.03912,23.17049,18.72115,True,False,17,24.05882,6161.232,337,7
2600,260.0067,1194,396,0,2215,1435,780,2,98,0.7402008,16.5303,17.13087,14.70408,True,False,14,28.28572,6723.204,323,5
2650,265.007,1192,386,0,2796,1686,1110,2,107,0.7173412,15.60104,16.46237,13.35514,True,False,14,27.57143,4052.531,249,5
2700,270.0073,1185,385,0,2599,1737,862,5,108,0.7309102,15.55844,16.26715,13.74074,True,False,19,20.26316,1455.773,155,9
2750,275.0076,1163,377,0,2605,1675,930,4,110,0.703018,17.80902,18.47565,16.19091,True,False,17,22.17647,1646.851,147,6
2800,280.0079,1158,360,0,2250,1441,809,3,102,0.7005571,15.87778,16.43798,14.46078,True,False,23,15.65217,957.7921,141,5
2850,285.0082,1157,354,0,2003,1384,619,1,93,0.6591745,15.59322,15.9387,14.62366,True,False,24,14.75,818.4375,130,10
2900,290.0085,1184,356,0,1957,1427,530,3,81,0.6581702,16.31461,16.94545,14.17284,True,False,17,20.94118,2380.408,164,6
2950,295.0088,1190,361,0,1956,1304,652,2,90,0.7242941,15.11357,16,12.44444,True,False,13,27.76923,7082.024,319,6
3000,300.0091,1195,364,0,2066,1418,648,3,88,0.7797586,20.90934,21.97464,17.56818,True,False,16,22.75,4725.188,288,5
3050,305.0094,1207,355,0,1866,1388,478,4,74,0.8314414,16.69859,17.30961,14.37838,True,False,17,20.88235,4163.398,278,8
3100,310.0097,1206,351,0,2033,1167,866,2,107,0.8417886,15.62393,16.61475,13.36449,True,False,15,23.4,4548.64,275,4
3150,315.01,1225,339,0,1968,1244,724,2,96,0.8034862,15.57817,16.57613,13.05208,True,False,19,17.84211,2864.028,244,4
3200,320.0103,1217,346,0,2294,1433,861,4,103,0.7752599,15.93353,16.90535,13.64078,True,False,21,16.47619,1321.964,156,7
3250,325.0106,1193,345,0,2448,1495,953,1,114,0.7846075,17.06087,17.64069,15.88597,True,False,16,21.5625,1569.746,142,6
3300,330.0109,1164,350,0,2374,1478,896,3,113,0.8024355,16.61143,17.08861,15.61062,True,False,10,35,6880.6,283,3
3350,335.0112,1186,346,0,2697,1851,846,3,96,0.7800185,16.28035,16.156,16.60417,True,False,11,31.45455,2057.884,123,4
3400,340.0115,1171,363,0,2483,1623,860,1,113,0.8327465,16.9697,16.992,16.92035,True,False,15,24.2,1775.227,154,6
3450,345.0118,1168,358,0,2352,1519,833,2,116,0.7994748,18.65084,19.42562,17.03448,True,False,14,25.57143,2059.674,160,4
3500,350.0121,1156,367,0,2401,1605,796,1,115,0.6996908,17.16621,16.99603,17.53913,True,False,12,30.58333,3477.076,165,6
3550,355.0125,1139,369,0,2467,1641,826,0,108,0.6937566,15.07046,15.30268,14.50926,True,False,14,26.35714,3077.087,181,6
3600,360.0128,1130,370,0,2409,1586,823,3,113,0.662602,15.44595,15.68872,14.89381,True,False,18,20.55556,2040.58,196,7
3650,365.0131,1112,372,0,2634,1771,863,0,115,0.6416188,17.10484,18.24903,14.54783,True,False,16,23.25,3821.188,257,10
3700,370.0134,1077,380,0,2532,1546,986,3,127,0.6702731,15.96579,16.62846,14.64567,True,False,22,17.27273,2623.926,248,12
3750,375.0137,1054,383,0,2504,1609,895,3,111,0.6673893,16.02611,16.19485,15.61261,True,False,18,21.27778,3167.645,249,8
3800,380.014,1029,395,0,2607,1644,963,1,119,0.6575763,19.33924,19.86232,18.12605,True,False,16,24.6875,3490.465,240,8
3850,385.0143,994,389,0,2412,1579,833,4,123,0.5866787,15.88689,15.81955,16.03252,True,False,9,43.22222,5001.062,231,1
3900,390.0146,986,389,0,2547,1792,755,3,108,0.4658779,16.92545,17.09253,16.49074,True,False,10,38.9,3579.69,198,3
3950,395.0149,981,386,0,2192,1491,701,1,111,0.5280847,19.01036,19.43636,17.95495,True,False,16,24.125,4318.859,276,9
4000,400.0152,978,373,0,1804,1234,570,0,111,0.5156552,18.40215,18.86259,17.31532,True,False,17,21.94118,3781.702,262,10
4050,405.0155,1028,365,0,1817,1344,473,4,92,0.4670623,18.71507,18.31502,19.90217,True,False,18,20.27778,1610.423,132,11
