Step, Time, PreyPop, PredPop, MutantPop, PreyInCaptureRange, PreyInCaptureRangeQuesting, PreyInCaptureRangeHandling, PreyConsumed, PredHandling, Polarization, Crowding, CrowdingQuesting, CrowdingHandling, CollectivePred, CollectivePrey, NumberOfGroups, MeanGroupSize, VarGroupSize, MaxGroupSize, NumberOfSingletonGroups
50,4.999998,1045,108,0,861,638,223,0,29,0.07340641,0.962963,0.8607595,1.241379,False,False,108,1,0,1,108
100,10,1097,116,0,968,656,312,0,37,0.08809894,0.9482759,0.8101266,1.243243,False,False,116,1,0,1,116
150,15.00002,1140,121,0,1054,680,374,3,41,0.07257396,1.14876,1.225,1,False,False,121,1,0,1,121
200,20.00004,1165,134,0,1238,649,589,2,62,0.0610306,1.164179,1.277778,1.032258,False,False,134,1,0,1,134
250,25.00006,1210,127,0,1215,746,469,2,50,0.08214325,1.15748,1.207792,1.08,False,False,127,1,0,1,127
300,30.00008,1246,133,0,1292,847,445,1,46,0.09825259,1.278196,1.126437,1.565217,False,False,133,1,0,1,133
350,35.00004,1247,145,0,1438,816,622,1,62,0.09832936,1.393103,1.39759,1.387097,False,False,145,1,0,1,145
400,39.99996,1277,160,0,1551,850,701,0,73,0.1485894,1.425,1.436782,1.410959,False,False,160,1,0,1,160
450,44.99989,1305,164,0,1662,941,721,2,67,0.1164306,1.189024,1.175258,1.208955,False,False,164,1,0,1,164
500,49.99981,1305,177,0,1788,1046,742,0,75,0.07692534,1.627119,1.715686,1.506667,False,False,177,1,0,1,177
550,54.99973,1299,179,0,1812,1126,686,0,65,0.05590907,1.497207,1.54386,1.415385,False,False,179,1,0,1,179
600,59.99966,1306,186,0,1923,1150,773,1,79,0.03601943,1.677419,1.757009,1.56962,False,False,186,1,0,1,186
650,64.99958,1324,200,0,2065,1203,862,2,86,0.05921326,1.79,1.789474,1.790698,False,False,200,1,0,1,200
700,69.9995,1321,208,0,2134,1220,914,1,86,0.06082178,1.802885,1.844262,1.744186,False,False,208,1,0,1,208
750,74.99943,1334,213,0,2184,1291,893,1,90,0.06413519,1.624413,1.699187,1.522222,False,False,213,1,0,1,213
800,79.99935,1339,206,0,2047,1171,876,2,88,0.08118266,1.737864,1.762712,1.704545,False,False,206,1,0,1,206
850,84.99928,1331,212,0,2282,1315,967,2,89,0.01909239,1.858491,1.878049,1.831461,False,False,212,1,0,1,212
900,89.9992,1335,222,0,2319,1335,984,3,93,0.1111226,2.085586,2.170543,1.967742,False,False,222,1,0,1,222
950,94.99912,1327,234,0,2435,1393,1042,3,99,0.06793247,1.982906,1.874074,2.131313,False,False,234,1,0,1,234
1000,99.99905,1311,238,0,2386,1424,962,0,99,0.01468408,1.852941,1.769784,1.969697,False,False,238,1,0,1,238
1050,104.999,1311,259,0,2669,1749,920,3,92,0.05320605,2.007722,1.916168,2.173913,False,False,259,1,0,1,259
1100,109.9989,1268,258,0,2567,1505,1062,2,106,0.0265753,2.100775,1.973684,2.283019,False,False,258,1,0,1,258
1150,114.9988,1255,267,0,2581,1479,1102,2,112,0.05052898,2.037453,2.006452,2.080357,False,False,267,1,0,1,267
1200,119.9987,1251,273,0,2573,1713,860,4,88,0.06240775,2.278388,2.232432,2.375,False,False,273,1,0,1,273
1250,124.9987,1208,294,0,2801,1679,1122,1,117,0.06521172,2.636055,2.672316,2.581197,False,False,294,1,0,1,294
1300,129.9987,1182,299,0,2766,1751,1015,2,107,0.03848769,2.190635,2.229167,2.121495,False,False,299,1,0,1,299
1350,134.999,1134,317,0,2847,1837,1010,2,114,0.03068292,2.365931,2.310345,2.464912,False,False,317,1,0,1,317
1400,139.9993,1087,334,0,2724,1675,1049,2,118,0.01563094,2.667665,2.726852,2.559322,False,False,334,1,0,1,334
1450,144.9996,1027,347,0,2667,1747,920,4,121,0.03045941,2.971182,2.955752,3,False,False,347,1,0,1,347
1500,150,990,354,0,2812,1910,902,2,117,0.01124054,2.663842,2.675106,2.641026,False,False,354,1,0,1,354
1550,155.0003,940,359,0,2550,1676,874,5,123,0.0006453336,2.740947,2.724576,2.772358,False,False,359,1,0,1,359
1600,160.0006,871,388,0,2484,1727,757,0,130,0.03697888,3.262887,3.251938,3.284615,False,False,388,1,0,1,388
1650,165.0009,826,382,0,2372,1661,711,4,110,0.02701839,3.164922,3.227941,3.009091,False,False,382,1,0,1,382
1700,170.0012,753,389,0,2215,1518,697,3,119,0.02342369,3.084833,3.088889,3.07563,False,False,389,1,0,1,389
1750,175.0015,710,390,0,2129,1547,582,3,107,0.02638049,3.338462,3.39576,3.186916,False,False,390,1,0,1,390
1800,180.0018,658,388,0,1976,1387,589,0,116,0.03428245,2.938144,2.981618,2.836207,False,False,388,1,0,1,388
1850,185.0021,618,387,0,1901,1445,456,3,98,0.04433364,3.124031,3.055363,3.326531,False,False,387,1,0,1,387
1900,190.0024,588,386,0,1729,1285,444,1,94,0.06817964,3.196891,3.157534,3.319149,False,False,386,1,0,1,386
1950,195.0027,545,371,0,1630,1248,382,2,87,0.05318187,2.865229,2.859155,2.885057,False,False,371,1,0,1,371
2000,200.003,508,354,0,1430,995,435,3,104,0.04211076,2.700565,2.708,2.682692,False,False,354,1,0,1,354
2050,205.0033,492,342,0,1297,1011,286,3,77,0.04646751,2.505848,2.475472,2.61039,False,False,342,1,0,1,342
2100,210.0036,476,330,0,1166,908,258,1,70,0.0555161,2.448485,2.465385,2.385714,False,False,330,1,0,1,330
2150,215.0039,471,322,0,1207,1001,206,4,53,0.07648937,2.462733,2.438662,2.584906,False,False,322,1,0,1,322
2200,220.0042,470,302,0,1097,870,227,1,61,0.06861102,2.463576,2.473029,2.426229,False,False,302,1,0,1,302
2250,225.0045,477,291,0,1117,854,263,3,66,0.08000303,2.051546,2.008889,2.19697,False,False,291,1,0,1,291
2300,230.0048,473,282,0,1054,827,227,1,59,0.08687074,2.219858,2.197309,2.305085,False,False,282,1,0,1,282
2350,235.0051,469,274,0,978,741,237,3,64,0.02813793,2.138686,2.023809,2.515625,False,False,274,1,0,1,274
2400,240.0054,465,254,0,946,780,166,0,50,0.03564478,1.866142,1.887255,1.78,False,False,254,1,0,1,254
2450,245.0058,481,239,0,857,706,151,2,40,0.06851626,1.92887,1.859296,2.275,False,False,239,1,0,1,239
